Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
Background 2;6/25/2020;background;#N/A;2;4.2473025;245.5257;98.1547;330.9134;37.2644;213.8485;159.6377;15.5495;270.4327;95.1663;57.8869;25.5955;0.2777;59.096806;139.5517;20.4637;30.6226;45.9396;37.7854;11.9043;5.7002;19.052;9.0493;7.8081;5.4856;8.362483;7.8812;2.6912155
Background 2;6/25/2020;background;#N/A;2;0.67666638;254.7213;102.2914;334.9446;44.2409;311.1081;216.133;17.7401;234.5836;79.8104;69.3025;26.8926;1.2333;48.663708;171.6946;18.9211;24.7798;46.8036;38.6837;11.93;8.0234;17.5142;5.494;7.5705;15.3113;3.5865109;3.1951;0
Background 2;6/25/2020;background;#N/A;2;2.7584722;272.3004;126.9929;409.1948;50.6187;379.6541;279.7476;13.0727;232.593;113.9125;87.3616;20.6677;0.8239;52.178879;210.3706;15.9492;25.6281;54.3734;47.2162;12.5676;9.8899;18.547;8.9982;8.9041;10.3783;0;7.9241;2.527709
Background 2;6/25/2020;background;#N/A;2;5.0121336;303.2882;158.2997;551.4346;55.1841;562.2314;425.4971;18.8614;226.9103;122.6787;100.4854;24.5895;6.7229;71.240883;272.562;19.3695;34.2486;50.3505;60.9762;21.3084;8.3774;13.7259;7.611;7.4736;14.5733;0.15520656;9.4985;3.9289334
Background 2;6/25/2020;background;#N/A;2;7.1935658;275.0045;139.7158;462.6267;53.2585;308.5048;265.2994;14.398;234.3624;123.634;67.9404;28.282;0.4603;43.519119;221.0064;12.5568;39.0164;60.0398;46.549;18.621;10.637;17.5693;6.7428;9.2856;10.7116;1.8226454;9.7683;1.3619342
Background 2;6/25/2020;background;#N/A;2;1.3396503;286.1013;145.6058;469.5868;58.4559;535.0743;423.058;21.0129;240.2235;116.6082;123.6004;22.8062;0.9646;65.316551;198.2169;25.5445;27.6236;77.6644;70.044;18.0841;12.2169;12.8056;5.5971;5.0321;9.1036;3.3027122;12.0289;2.4757192
Background 2;6/25/2020;background;#N/A;2;3.3047996;290.1429;159.04;486.5593;74.8867;637.1489;484.8348;18.6638;231.3913;138.0782;113.2534;23.8206;2.3521;54.48502;241.6708;14.8363;29.0013;65.8539;55.2823;20.0539;9.3417;18.7597;8.8484;7.927;10.6303;2.7691514;5.7247;3.0846255
Background 2;6/25/2020;background;#N/A;2;4.1685028;320.392;193.6515;627.8388;60.3891;899.0414;687.2973;22.1339;272.1621;133.2586;153.696;21.1363;2.2736;72.840546;326.2495;18.2213;41.648;76.9996;67.2137;21.3947;8.9849;20.5484;8.5613;11.5552;15.5023;1.2924575;6.4183;1.6236271
Background 2;6/25/2020;background;#N/A;2;4.5938759;344.4862;189.0917;694.4938;66.6006;627.863;623.0977;25.7757;243.3711;139.0821;107.3558;29.0705;1.0587;76.081566;422.4647;12.6861;25.9648;89.971;58.1625;31.1802;9.3726;19.4738;7.7675;12.108;20.9967;8.1478748;8.9436;0.37747273
Background 2;6/25/2020;background;#N/A;2;2.714433;277.1175;128.5518;456.1247;71.3197;294.4137;295.8666;22.2561;237.0706;122.2228;79.2385;23.6481;0.9555;51.177223;295.2909;14.4164;22.185;64.1465;55.2826;28.5557;8.3537;20.0577;12.5079;11.2185;18.0846;0;4.5161;2.119751
