Sample_ID,treatment,'CH5O+','C4H6H+','C3H5O+','C5H7+','C5H9+','C5H11+','C6H9+','C6H11+','C6H13+','C5H11O+','C7H9+','C7H11+','C7H13+','C6H11O+','C6H13O+','C6H15O+','C7H7O+','C8H13+','C8H15+','C7H14OH+','C8H8N+','C8H17O+','C10H15+','C10H17+','C8H15O2+','C9H19O+','C8H17O2+','C11H17+','C9H11O2+','C11H19+','C8H10NO2+','C10H21O+','C10H13O2+','C12H21O2+','C15H25+','C16H27+'
A_C_2,Control,12.681428,18249.264,1146.0309,144.94373,325.83823,47.83971,296.27057,375.13297,22.043894,145.8652,207.0526,198.50064,78.820755,120.47119,51.192307,8.2464514,276.95047,341.31445,58.338951,31.735443,472.65057,23.588989,58.568222,35.311115,48.19965,17.891058,13.267439,42.973587,28.586649,19.114813,35.208927,23.917521,14.050846,6.7450247,121.68121,5.5421972
A_C_2,Control,5.5765462,18341.334,1217.5636,137.98782,296.70609,60.289684,279.22421,337.22748,27.52389,145.78484,231.77698,196.1523,79.4506,113.46706,50.641541,4.8679342,258.26254,318.46997,42.894463,37.78437,451.69516,11.879603,51.954899,47.558083,47.27433,12.831019,17.592644,47.044632,30.732265,13.447722,30.720718,11.677161,23.062073,5.9185476,131.4743,3.1108701
A_C_2,Control,10.510092,18689.686,1132.4395,110.92609,302.86996,58.311466,280.63995,389.15588,23.228533,161.522,251.37096,159.4156,73.780579,131.62878,71.183159,4.2100205,294.51248,354.5849,61.709759,34.768291,451.70255,21.986338,35.955948,65.494293,39.788383,18.979393,9.0613642,38.380177,26.164583,19.901663,39.1213,13.390387,10.310108,9.0998907,91.21788,4.9942684
A_C_2,Control,11.501282,18525.848,1052.4814,150.27841,291.32993,57.046124,257.46237,338.24829,18.13624,143.72638,202.64798,194.00775,59.849766,111.6721,73.059326,2.7336369,256.28201,295.18863,55.164093,26.730255,458.79083,23.224327,45.632668,42.901917,44.177601,22.92758,11.372326,34.20639,31.630583,16.221348,38.020527,22.634333,19.570883,2.0369771,129.13087,8.9297533
A_C_2,Control,16.628349,20515.316,1043.3627,132.77022,270.12094,53.894283,242.09453,387.45621,37.630054,155.01479,204.38773,190.32471,73.337723,137.12088,67.01239,6.2049761,266.71326,343.11142,38.67625,24.852995,414.28259,25.275326,41.249393,47.604458,47.878654,17.42001,18.819126,38.366879,23.958258,13.647099,35.459969,17.130047,11.042832,9.0913467,88.724068,0.30146229
A_C_2,Control,16.517885,19553.707,1087.4133,108.24923,280.69931,59.219875,258.1983,375.84521,18.246105,106.41381,207.25508,182.44754,80.593208,114.45343,47.734859,5.0091414,260.74551,315.93524,60.403458,28.363371,398.59805,19.494619,53.365993,51.59708,46.458378,22.929771,6.9568486,34.841892,32.125496,9.6322088,44.158005,15.639198,13.813287,5.058497,99.575584,4.7748637
A_C_2,Control,23.566315,19648.822,1137.2927,139.82109,254.48767,63.107346,272.93393,334.27835,21.309059,141.03712,188.11742,161.69722,72.301933,122.63489,41.935833,2.4490311,240.55545,376.14822,47.872017,46.943253,419.96545,14.844641,54.168503,39.364319,50.753227,15.257496,14.735453,32.515072,23.08429,7.1411366,30.716488,20.019854,11.391503,2.3755078,101.14367,9.7552624
A_C_2,Control,18.691292,20372.768,1081.881,147.69582,243.0533,55.026081,238.52922,361.51984,27.015924,163.09674,210.14474,164.86514,66.091789,127.23633,54.043156,2.8345408,293.60431,306.38684,51.261574,36.556778,409.94339,32.675564,48.559856,50.07148,40.908833,18.510315,8.4966068,49.811405,21.403557,9.4533854,38.949871,12.652962,21.422752,5.2522979,103.78757,4.1753092
A_C_3,Control,20.21645,21766.227,1162.3928,100.99554,207.08282,64.345459,217.43355,315.58109,18.498899,139.33374,174.15248,154.90939,68.461914,110.83398,43.973721,2.4906292,302.05643,286.35992,38.557663,30.515745,839.81506,22.64193,29.57502,37.162727,36.874237,5.4036126,9.2712345,32.314453,25.949411,7.7097735,39.453545,9.95438,16.525902,13.816456,65.325279,0
A_C_3,Control,13.984568,24052.824,1167.1299,72.778053,227.78064,52.817368,196.40387,317.20343,15.54167,178.77625,175.86333,144.07179,73.968666,109.62437,69.799194,4.1528482,268.08313,251.20642,40.448856,21.95577,799.98175,16.585732,20.033556,26.030283,24.446424,6.8443317,9.4387503,9.5383368,17.150566,6.331594,20.375084,13.849265,9.4963627,5.2401109,94.657051,0.68843848
A_C_3,Control,12.426193,22639.822,1101.4449,106.45653,183.66064,59.148319,198.2739,297.87332,20.544031,153.86641,174.01956,154.64862,63.397102,101.77525,45.894951,4.3963346,281.01358,262.79691,23.367174,38.468361,845.966,12.943777,33.332653,32.447098,38.051479,14.557191,8.1894236,33.624981,14.738263,10.268074,45.080391,8.6886997,18.439966,6.3738093,85.364113,0.29650739
A_C_3,Control,21.338945,21890.717,1162.0228,116.39027,207.33501,44.666386,218.40099,294.43018,10.94581,130.83849,143.22899,158.18726,81.80806,124.71386,50.506931,0.78868473,314.4379,254.2395,43.487072,31.113253,777.69733,19.354645,30.514164,34.176781,28.455128,8.1814461,12.410605,31.892914,12.189178,2.8495166,32.625713,9.436182,13.658095,2.9696052,79.105698,5.9747739
A_C_3,Control,12.180762,22153.014,1177.6699,83.803581,235.73367,47.096836,203.66171,250.83691,9.1618643,146.68025,172.9998,173.14029,51.135475,100.70354,44.251007,5.2691555,271.21451,260.28537,49.594646,23.102549,798.73254,14.13747,32.686069,47.178425,43.378147,11.716788,18.070803,35.263466,21.280636,3.6726913,33.622204,9.9978857,7.270318,8.9012995,52.783154,8.4991703
A_C_3,Control,24.359793,25960.805,1118.5916,91.729057,185.21103,47.941242,185.34125,275.01981,27.375107,162.68277,156.12172,159.61061,62.198624,104.27656,49.310139,2.6174173,281.57721,265.27936,26.851559,21.810835,774.04468,5.468493,34.488922,31.444809,36.399708,9.3759298,11.088524,27.068661,11.08233,10.126975,50.560867,3.4428442,10.843927,1.9159033,82.585426,4.9168005
A_C_3,Control,16.813353,21913.73,1102.1146,66.685684,204.28368,40.706535,212.49837,275.7403,13.598701,172.20012,184.56544,164.02711,53.134731,109.10801,41.466198,3.0056167,297.16974,229.28523,41.362289,27.783409,772.19318,11.832101,24.510382,47.554314,29.035093,5.9345894,5.1910434,17.042021,15.291172,9.4600716,45.06683,20.646717,4.9937406,3.652329,66.627998,0
A_C_3,Control,24.227486,24955.756,1009.6096,77.612244,204.93167,47.225662,221.41464,255.4547,17.651028,167.75935,176.50841,132.84067,55.357422,102.98743,38.914845,2.8701153,227.72568,230.73225,29.469131,21.424227,794.20044,29.045322,21.905714,24.296873,22.366383,2.809309,8.3074532,28.076576,18.049944,5.9076753,36.728359,9.6378593,6.3502216,1.6519237,76.976974,1.0091197
A_C_3,Control,6.1603327,22559.373,1085.1765,107.75691,182.73235,43.482079,182.50285,252.15747,17.239628,146.87367,155.036,138.21852,57.550591,109.29187,31.69286,3.3162732,242.14531,259.16458,31.29821,24.968464,710.52539,22.124136,19.008783,24.115173,45.035015,3.7282417,15.302229,19.466227,15.85476,4.7146921,33.508751,8.8796654,11.293061,8.9904079,69.365891,2.2338424
A_C_3,Control,8.9238396,24589.246,1138.4983,100.69933,183.91248,54.53125,234.87935,282.33737,14.770579,145.26282,164.32687,161.81104,42.807865,105.93843,36.347103,2.1347036,261.72845,220.21184,26.006592,22.328058,760.44391,22.444195,27.295643,44.98431,44.430401,20.438681,7.8883696,22.766338,6.6057281,9.8776064,27.01643,14.899733,9.8117609,4.2258639,54.504929,2.8666747
A_C_3,Control,24.256952,20831.971,1014.6811,94.054924,191.21095,43.945538,219.16899,320.85019,16.311962,164.12175,169.22546,120.16785,50.993557,99.128105,38.360104,5.5120077,219.9631,251.64058,33.322922,22.311049,863.92084,16.268465,35.561695,36.358456,23.061836,18.306839,12.66886,33.85873,11.44334,3.6623893,31.097849,7.1336813,8.2510309,4.2984161,70.470108,0.7117551
A_C_3,Control,16.806427,22440.973,1073.7808,92.591499,205.39433,33.685898,208.27209,270.59695,8.280551,136.11481,161.27669,152.56419,55.073822,116.00461,46.859985,7.7245078,252.62192,270.41336,21.101301,19.93782,718.15698,21.856316,19.379904,26.722498,27.10507,7.3986316,14.193881,22.427299,14.339105,6.2327499,49.565914,13.222963,10.797565,4.9285197,66.733101,0
A_C_3,Control,11.608569,19106.123,1134.3389,110.01069,192.68752,51.885094,181.21928,280.24902,10.609175,135.44649,187.90919,158.14113,50.402248,111.52312,40.695076,8.820962,248.99658,224.47595,20.702383,22.395876,751.93701,14.785446,20.339504,30.897163,23.97591,20.399214,11.669436,27.717146,16.379662,9.750864,31.253134,5.3164105,10.649695,2.8902431,62.247219,5.6963577
A_C_3,Control,8.9393597,21954.297,1095.09,96.141167,226.49165,44.739098,169.0173,272.30826,15.951462,147.1286,165.74619,149.72307,41.240021,121.49104,38.394901,3.3057394,238.27756,286.75635,30.592724,23.581617,728.39343,28.660158,32.827141,23.566853,39.855133,12.685297,7.9771199,21.881121,16.141806,8.3332624,35.350544,13.062628,21.298519,3.6960618,71.06871,6.1400757
A_C_3,Control,14.658556,23217.924,1064.8311,73.464447,169.52992,53.701351,222.76039,305.2294,16.565847,149.51582,194.25694,158.87218,57.693867,97.749748,47.941147,8.7472305,226.63533,294.28027,32.500412,26.501919,757.66864,12.824555,28.349012,47.74173,35.533566,16.200855,11.656127,26.701687,19.293497,7.2171302,38.652847,5.8837047,8.494894,3.746928,52.765949,5.1748948
