Sample_ID,Date,Treatment,Plant,Repetition_measurment,Sampling_order_within_day,CH5O+,C3H5O+,C5H7+,C5H9+,C5H11+,C6H9+,C6H11+,C6H13+,C7H9+,C7H11+,C6H11O+,C6H13O+,C6H15O+,C7H7O+,C8H13+,C8H8N+,C10H15+,C10H17+,C8H15O2+,C8H17O2+,C11H17+,C9H11O2+,C11H19+,C8H10NO2+,C10H12O2+,C12H21O2+,C15H25+,C16H27+
Background 3,6/25/2020,background,#N/A,3,14,2.2256019,184.80035,103.14141,376.03839,36.106544,195.3952,198.95078,14.667163,187.63745,82.604958,35.364647,17.372862,0.29251325,26.070644,138.94928,10.60522,15.557077,54.3694034,23.350332,4.9580102,4.0916471,10.912228,4.2220116,7.8585472,2.2285261,2.440609,2.14754442,1.4667233
Background 3,6/25/2020,background,#N/A,3,14,6.301187,228.77267,99.875931,359.10248,36.269234,181.72275,196.70352,11.839224,190.92917,69.730904,35.548485,16.772406,0.22579409,47.5368,134.25014,9.7782726,14.297102,45.7239432,29.596327,8.0076056,3.8476586,10.383315,4.4879532,2.8555689,4.5993066,1.5126504,3.7483523,0.15552287
Background 3,6/25/2020,background,#N/A,3,14,6.5916419,197.76128,85.479713,345.51181,36.626656,167.87126,185.18999,9.2219276,201.26385,73.770332,36.518742,13.635266,0.86733055,44.875854,150.57974,10.611547,20.0238,47.016386,20.04471,14.426467,5.5159221,5.0344162,3.0488808,5.6742735,6.2844567,0,2.159576156,1.1319029
Background 3,6/25/2020,background,#N/A,3,14,4.7815933,226.52878,106.44637,415.95151,51.081219,193.29956,200.92816,10.448426,182.78145,71.471756,32.564243,22.043589,0.19574982,43.681496,131.95996,6.7815218,12.232582,42.7667049,42.874302,5.9309421,7.5610499,7.7046056,4.6487556,4.5355682,5.2742777,2.0553432,2.95492424,0.88643295
Background 3,6/25/2020,background,#N/A,3,14,1.1505584,207.11221,112.74724,356.09323,34.669567,179.50603,190.0463,10.959498,192.73494,80.975166,45.943558,13.701207,0.074044436,42.69091,131.55305,5.4100657,17.072533,45.1814399,27.95314,7.0025945,7.1345367,2.6626287,6.7859836,2.3950632,7.2803621,6.0797558,1.98381227,0.16200206
Background 3,6/25/2020,background,#N/A,3,14,3.0213447,219.36975,91.549042,389.71039,38.666241,200.42749,237.89723,16.750111,188.54819,85.232948,43.988869,12.596841,0.78900999,41.910671,121.28455,9.7608089,16.905899,55.0587525,24.567675,4.5304337,2.9695537,9.8118572,8.047266,4.3842978,6.0791197,0.82004136,4.2257384,1.6440096
Background 3,6/25/2020,background,#N/A,3,14,3.0862734,218.34908,94.237267,357.75427,50.148312,194.08931,196.9397,11.222605,187.8438,80.004486,47.077,15.049471,1.2452478,47.978233,144.79785,4.9884553,13.831624,46.69348,22.50461,7.8335972,3.5899286,12.553407,1.1973279,6.1519113,4.8638816,2.0674603,5.49515294,0.47906566
Background 3,6/25/2020,background,#N/A,3,14,1.3938993,214.13893,103.42733,283.84256,32.086372,162.12144,163.59102,5.9561772,185.75009,71.901772,42.760319,18.18664,2.8985581,40.997467,111.75142,13.401007,23.448687,48.5301789,23.576628,10.2119,8.6616812,7.8369455,3.2813492,3.1194212,4.9906487,1.714494,3.38424436,0.59938306
Background 3,6/25/2020,background,#N/A,3,14,5.3100181,194.69629,90.797134,272.26294,32.45763,135.08,149.19128,13.658067,173.53532,65.371246,37.597961,17.083141,2.4326024,33.389931,102.1771,8.7964401,18.396627,33.7248266,28.16753,12.351689,5.7578378,8.0283518,4.2279215,4.5417461,4.8825541,3.7502005,3.60165748,0.60051614
Background 3,6/25/2020,background,#N/A,3,14,1.015027,208.85698,81.359062,271.27512,28.220005,151.15674,127.81034,13.078962,139.87469,70.689415,46.703239,12.977264,0.40672719,45.987354,99.367256,9.5119286,16.15204,37.6164361,31.161179,6.1945643,3.0529213,11.515976,2.2708924,4.8233042,8.8436012,0.47028062,5.24644235,0.9102397
Background 3,6/25/2020,background,#N/A,3,14,3.3797913,209.27914,86.231651,291.14288,36.559155,154.95085,190.07144,13.500789,148.22165,69.939049,55.37405,13.885376,0.48863477,49.570938,138.80405,8.1326351,18.553001,34.0086145,28.299458,12.1655,7.7653213,7.320313,5.5509052,3.9187558,5.420752,0.64456767,2.3291604,1.3075517
Background 3,6/25/2020,background,#N/A,3,14,5.123682,209.53392,79.460716,323.50836,39.63245,157.50523,190.20915,15.386546,162.79726,78.344833,39.045132,14.747811,0.81041884,63.956703,118.23687,15.48664,17.510754,39.711034,28.755751,12.305305,10.204262,7.0627155,3.9299269,8.5847054,5.1153517,3.0957105,1.71306111,0
